table_name,main_column_index,column_index,label,labelcol
LocalBusiness_allmysons.com_September2020_CPA.json.gz,0,1,telephone,LocalBusiness/name
LocalBusiness_allmysons.com_September2020_CPA.json.gz,0,3,image,telephone
LocalBusiness_allmysons.com_September2020_CPA.json.gz,0,11,ratingValue,Rating
LocalBusiness_cyprusclothing.com_September2020_CPA.json.gz,0,9,addressRegion,addressLocality
LocalBusiness_cyprusclothing.com_September2020_CPA.json.gz,0,8,addressLocality,addressLocality
LocalBusiness_cyprusclothing.com_September2020_CPA.json.gz,0,6,addressCountry,Country
LocalBusiness_cyprusclothing.com_September2020_CPA.json.gz,0,10,postalCode,postalCode
LocalBusiness_cyprusclothing.com_September2020_CPA.json.gz,0,4,image,description
LocalBusiness_cyprusclothing.com_September2020_CPA.json.gz,0,13,url,URL
Movie_000123movies.com_September2020_CPA.json.gz,0,7,worstRating,Review
Movie_000123movies.com_September2020_CPA.json.gz,0,8,bestRating,Duration
Movie_000123movies.com_September2020_CPA.json.gz,0,10,ratingValue,Review
Movie_000123movies.com_September2020_CPA.json.gz,0,5,dateCreated,Release_date
Movie_000123movies.com_September2020_CPA.json.gz,0,2,duration,PlotSummary
Movie_000123movies.com_September2020_CPA.json.gz,0,1,description,Movie/name
Movie_000123movies.com_September2020_CPA.json.gz,0,3,contentRating,Runtime
Movie_000123movies.com_September2020_CPA.json.gz,0,4,director,RATING
Movie_000123movies.com_September2020_CPA.json.gz,0,9,actor,Person/name
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,6,contentRating,Rating
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,1,description,Movie/name
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,2,genre,PlotSummary
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,3,duration,Runtime
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,4,url,URL
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,7,director,Director
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,9,dateCreated,Date
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,10,bestRating,Review
Movie_filmboxoffice.web.id_September2020_CPA.json.gz,0,11,ratingValue,Rating
MusicRecording_alexandrageorgas.com_September2020_CPA.json.gz,0,1,duration,Duration
MusicRecording_alexandrageorgas.com_September2020_CPA.json.gz,0,3,byArtist,MusicArtistAT
MusicRecording_alexandrageorgas.com_September2020_CPA.json.gz,0,4,inAlbum,MusicRecording/name
MusicRecording_ankakoziel.com_September2020_CPA.json.gz,0,1,duration,Duration
MusicRecording_ankakoziel.com_September2020_CPA.json.gz,0,2,inAlbum,MusicRecording/name
MusicRecording_ankakoziel.com_September2020_CPA.json.gz,0,4,byArtist,MusicArtistAT
Person_365chess.com_September2020_CPA.json.gz,0,3,nationality,Country
Person_365chess.com_September2020_CPA.json.gz,0,2,gender,Person/name
Person_365chess.com_September2020_CPA.json.gz,0,6,birthDate,Date
Person_coge.org_September2020_CPA.json.gz,0,4,nationality,Country
Person_coge.org_September2020_CPA.json.gz,0,1,image,Person/name
Person_coge.org_September2020_CPA.json.gz,0,2,url,URL
Person_coge.org_September2020_CPA.json.gz,0,3,gender,GenderType
Person_coge.org_September2020_CPA.json.gz,0,5,jobTitle,Artiste_lyrique
Product_buffaloandbear.co.uk_September2020_CPA.json.gz,0,1,description,Product/name
Product_buffaloandbear.co.uk_September2020_CPA.json.gz,0,2,image,Book/name
Product_buffaloandbear.co.uk_September2020_CPA.json.gz,0,4,itemCondition,OfferItemCondition Enumeration
Product_earpeace.com_September2020_CPA.json.gz,0,1,description,Product/name
Product_earpeace.com_September2020_CPA.json.gz,0,3,itemCondition,priceRange
Product_earpeace.com_September2020_CPA.json.gz,0,4,priceCurrency,currency
Product_earpeace.com_September2020_CPA.json.gz,0,6,availability,ItemAvailability
Product_earpeace.com_September2020_CPA.json.gz,0,8,ratingValue,priceRange
Product_earpeace.com_September2020_CPA.json.gz,0,9,price,price
Product_earpeace.com_September2020_CPA.json.gz,0,11,weight,weight
